 An,Ac,Reco,NEE
   16.7997780     ,  -1.84873287E-02 ,   5.50425529     ,   5.52274275    
   17.3821716     ,  -1.91282239E-02 ,   5.84319496     ,   5.86232328    
   16.6734200     ,  -1.83482766E-02 ,   5.84319496     ,   5.86154318    
   14.0786228     ,  -1.54928314E-02 ,   5.50425529     ,   5.51974821    
   6.12600470     ,  -6.74136635E-03 ,   4.90413094     ,   4.91087246    
   0.00000000     ,  -0.00000000     ,   4.16540670     ,   4.16540670    
   0.00000000     ,  -0.00000000     ,   3.41050982     ,   3.41050982    
   0.00000000     ,  -0.00000000     ,   2.72872567     ,   2.72872567    
   0.00000000     ,  -0.00000000     ,   2.16614151     ,   2.16614151    
   0.00000000     ,  -0.00000000     ,   1.73312688     ,   1.73312688    
   0.00000000     ,  -0.00000000     ,   1.41902244     ,   1.41902244    
   0.00000000     ,  -0.00000000     ,   1.21541989     ,   1.21541989    
   0.00000000     ,  -0.00000000     ,   1.05902374     ,   1.05902374    
   0.00000000     ,  -0.00000000     ,   1.00138378     ,   1.00138378    
   0.00000000     ,  -0.00000000     ,   1.00138378     ,   1.00138378    
   0.00000000     ,  -0.00000000     ,   1.05902374     ,   1.05902374    
   0.00000000     ,  -0.00000000     ,   1.17994118     ,   1.17994118    
   0.00000000     ,  -0.00000000     ,   1.37487924     ,   1.37487924    
   0.00000000     ,  -0.00000000     ,   1.65802407     ,   1.65802407    
   4.69861841     ,  -4.70079808E-03 ,   2.04314971     ,   2.04785061    
   7.34545660     ,  -7.34886434E-03 ,   2.53635216     ,   2.54370093    
   9.47072411     ,  -9.47511755E-03 ,   3.12549567     ,   3.13497090    
   11.6400871     ,  -1.16454875E-02 ,   3.76916504     ,   3.78081059    
   13.5988007     ,  -1.36051094E-02 ,   4.39186859     ,   4.40547371    
   15.0215521     ,  -1.50285214E-02 ,   4.89332390     ,   4.90835238    
   15.6152735     ,  -1.56225180E-02 ,   5.17498636     ,   5.19060898    
   15.1321630     ,  -1.51391840E-02 ,   5.17498636     ,   5.19012547    
   13.1020374     ,  -1.31081156E-02 ,   4.89332390     ,   4.90643215    
   6.22344542     ,  -6.22633239E-03 ,   4.39186859     ,   4.39809513    
   0.00000000     ,  -0.00000000     ,   3.76916504     ,   3.76916504    
   0.00000000     ,  -0.00000000     ,   3.12549567     ,   3.12549567    
   0.00000000     ,  -0.00000000     ,   2.53635216     ,   2.53635216    
   0.00000000     ,  -0.00000000     ,   2.04314971     ,   2.04314971    
   0.00000000     ,  -0.00000000     ,   1.65803540     ,   1.65803540    
   0.00000000     ,  -0.00000000     ,   1.37487924     ,   1.37487924    
   0.00000000     ,  -0.00000000     ,   1.17856765     ,   1.17856765    
   0.00000000     ,  -0.00000000     ,  0.894376814     ,  0.894376814    
   0.00000000     ,  -0.00000000     ,  0.844192922     ,  0.844192922    
   0.00000000     ,  -0.00000000     ,  0.844192922     ,  0.844192922    
   0.00000000     ,  -0.00000000     ,  0.894376814     ,  0.894376814    
   0.00000000     ,  -0.00000000     ,  0.999926925     ,  0.999926925    
   0.00000000     ,  -0.00000000     ,   1.17079997     ,   1.17079997    
   0.00000000     ,  -0.00000000     ,   1.42034817     ,   1.42034817    
   4.33162785     ,  -4.33363719E-03 ,   1.76192760     ,   1.76626122    
   6.26291037     ,  -6.26581581E-03 ,   2.20233607     ,   2.20860195    
   8.13046455     ,  -8.13423656E-03 ,   2.73197556     ,   2.74010968    
   10.1071835     ,  -1.01118730E-02 ,   3.31427789     ,   3.32438970    
   11.9424133     ,  -1.19479531E-02 ,   3.88063979     ,   3.89258766    
   13.3321152     ,  -1.33383004E-02 ,   4.33861542     ,   4.35195351    
   14.0072041     ,  -1.40137030E-02 ,   4.59652805     ,   4.61054182    
   13.7728100     ,  -1.37792006E-02 ,   4.59652805     ,   4.61030722    
   12.3655491     ,  -1.23712858E-02 ,   4.33861542     ,   4.35098648    
   7.05802107     ,  -7.06129568E-03 ,   3.88066697     ,   3.88772821    
   0.00000000     ,  -0.00000000     ,   3.31427789     ,   3.31427789    
   0.00000000     ,  -0.00000000     ,   2.73197556     ,   2.73197556    
   0.00000000     ,  -0.00000000     ,   2.20233607     ,   2.20233607    
   0.00000000     ,  -0.00000000     ,   1.76192760     ,   1.76192760    
   0.00000000     ,  -0.00000000     ,   1.42034817     ,   1.42034817    
   0.00000000     ,  -0.00000000     ,   1.17079997     ,   1.17079997    
   0.00000000     ,  -0.00000000     ,  0.998752236     ,  0.998752236    
   0.00000000     ,  -0.00000000     ,  0.852385998     ,  0.852385998    
   0.00000000     ,  -0.00000000     ,  0.794560432     ,  0.794560432    
   0.00000000     ,  -0.00000000     ,  0.794560432     ,  0.794560432    
   0.00000000     ,  -0.00000000     ,  0.852385998     ,  0.852385998    
   0.00000000     ,  -0.00000000     ,  0.976281345     ,  0.976281345    
   0.00000000     ,  -0.00000000     ,   1.18284321     ,   1.18284321    
   0.00000000     ,  -0.00000000     ,   1.49627864     ,   1.49627864    
   4.67147064     ,  -4.67363792E-03 ,   1.94478238     ,   1.94945598    
   7.45445061     ,  -7.45790871E-03 ,   2.55122280     ,   2.55868077    
   10.1503201     ,  -1.01550296E-02 ,   3.31594205     ,   3.32609701    
   13.0287933     ,  -1.30348383E-02 ,   4.19461632     ,   4.20765114    
   15.6680918     ,  -1.56753603E-02 ,   5.08211470     ,   5.09779024    
   17.5666828     ,  -1.75748337E-02 ,   5.82080555     ,   5.83838034    
   18.3045578     ,  -1.83130503E-02 ,   6.24442625     ,   6.26273918    
   17.5671368     ,  -1.75752863E-02 ,   6.24442625     ,   6.26200151    
   14.8162737     ,  -1.48231480E-02 ,   5.82080555     ,   5.83562851    
   6.74484348     ,  -6.74797269E-03 ,   5.08211470     ,   5.08886290    
   0.00000000     ,  -0.00000000     ,   4.19461632     ,   4.19461632    
   0.00000000     ,  -0.00000000     ,   3.31596518     ,   3.31596518    
   0.00000000     ,  -0.00000000     ,   2.55122280     ,   2.55122280    
   0.00000000     ,  -0.00000000     ,   1.94478238     ,   1.94478238    
   0.00000000     ,  -0.00000000     ,   1.49627864     ,   1.49627864    
   0.00000000     ,  -0.00000000     ,   1.18284321     ,   1.18284321    
   0.00000000     ,  -0.00000000     ,  0.974929810     ,  0.974929810    
   0.00000000     ,  -0.00000000     ,   1.16558170     ,   1.16558170    
   0.00000000     ,  -0.00000000     ,   1.08686316     ,   1.08686316    
   0.00000000     ,  -0.00000000     ,   1.08686316     ,   1.08686316    
   0.00000000     ,  -0.00000000     ,   1.16558170     ,   1.16558170    
   0.00000000     ,  -0.00000000     ,   1.33414936     ,   1.33414936    
   0.00000000     ,  -0.00000000     ,   1.61498439     ,   1.61498439    
   0.00000000     ,  -0.00000000     ,   2.04068041     ,   2.04068041    
   5.89435387     ,  -1.00269830E-02 ,   2.64913297     ,   2.65915990    
   10.2520943     ,  -1.74400061E-02 ,   3.47082877     ,   3.48826885    
   13.7333984     ,  -2.33621094E-02 ,   4.50569677     ,   4.52905893    
   17.1644382     ,  -2.91987117E-02 ,   5.69335985     ,   5.72255850    
   20.0556412     ,  -3.41169834E-02 ,   6.89179802     ,   6.92591476    
   21.8654537     ,  -3.71956825E-02 ,   7.88849592     ,   7.92569160    
   22.1884251     ,  -3.77450958E-02 ,   8.45983982     ,   8.49758530    
   20.6792316     ,  -3.51777822E-02 ,   8.45983982     ,   8.49501801    
   16.5548267     ,  -2.81616896E-02 ,   7.88849592     ,   7.91665745    
   6.63122272     ,  -1.12804826E-02 ,   6.89179802     ,   6.90307856    
   0.00000000     ,  -0.00000000     ,   5.69335985     ,   5.69335985    
   0.00000000     ,  -0.00000000     ,   4.50569677     ,   4.50569677    
   0.00000000     ,  -0.00000000     ,   3.47082877     ,   3.47082877    
   0.00000000     ,  -0.00000000     ,   2.64915133     ,   2.64915133    
   0.00000000     ,  -0.00000000     ,   2.04069448     ,   2.04069448    
   0.00000000     ,  -0.00000000     ,   1.61498439     ,   1.61498439    
   0.00000000     ,  -0.00000000     ,   1.33175480     ,   1.33175480    
   0.00000000     ,  -0.00000000     ,   1.31566155     ,   1.31566155    
   0.00000000     ,  -0.00000000     ,   1.22957385     ,   1.22957385    
   0.00000000     ,  -0.00000000     ,   1.22957385     ,   1.22957385    
   0.00000000     ,  -0.00000000     ,   1.31566155     ,   1.31566155    
   0.00000000     ,  -0.00000000     ,   1.49942410     ,   1.49942410    
   0.00000000     ,  -0.00000000     ,   1.80392385     ,   1.80392385    
   0.00000000     ,  -0.00000000     ,   2.26234436     ,   2.26234436    
   6.61867952     ,  -1.52367316E-02 ,   2.91235948     ,   2.92759609    
   11.0687876     ,  -2.54812390E-02 ,   3.78267908     ,   3.80816031    
   14.5074282     ,  -3.33972648E-02 ,   4.86951637     ,   4.90291357    
   17.8157387     ,  -4.10132632E-02 ,   6.10697699     ,   6.14799023    
   20.5559902     ,  -4.73215431E-02 ,   7.34721994     ,   7.39454126    
   22.2653656     ,  -5.12566604E-02 ,   8.37337017     ,   8.42462730    
   22.6048813     ,  -5.20382524E-02 ,   8.95962715     ,   9.01166534    
   21.2565689     ,  -4.89343293E-02 ,   8.95962715     ,   9.00856113    
   17.3971539     ,  -4.00496460E-02 ,   8.37337017     ,   8.41341972    
   7.35272694     ,  -1.69265680E-02 ,   7.34721994     ,   7.36414671    
   0.00000000     ,  -0.00000000     ,   6.10697699     ,   6.10697699    
   0.00000000     ,  -0.00000000     ,   4.86951637     ,   4.86951637    
   0.00000000     ,  -0.00000000     ,   3.78267908     ,   3.78267908    
   0.00000000     ,  -0.00000000     ,   2.91235948     ,   2.91235948    
   0.00000000     ,  -0.00000000     ,   2.26235986     ,   2.26235986    
   0.00000000     ,  -0.00000000     ,   1.80392385     ,   1.80392385    
   0.00000000     ,  -0.00000000     ,   1.49749947     ,   1.49749947    
   0.00000000     ,  -0.00000000     ,   1.28614688     ,   1.28614688    
   0.00000000     ,  -0.00000000     ,   1.21006584     ,   1.21006584    
   0.00000000     ,  -0.00000000     ,   1.21006584     ,   1.21006584    
   0.00000000     ,  -0.00000000     ,   1.28614688     ,   1.28614688    
   0.00000000     ,  -0.00000000     ,   1.44693029     ,   1.44693029    
   0.00000000     ,  -0.00000000     ,   1.70921695     ,   1.70921695    
   0.00000000     ,  -0.00000000     ,   2.09608245     ,   2.09608245    
   5.49210644     ,  -8.79275613E-03 ,   2.63171911     ,   2.64051175    
   9.58626747     ,  -1.53474296E-02 ,   3.33086205     ,   3.34620953    
   12.5072508     ,  -2.00238675E-02 ,   4.18200684     ,   4.20203066    
   15.2898798     ,  -2.44788025E-02 ,   5.12856627     ,   5.15304518    
   17.6148510     ,  -2.82010362E-02 ,   6.05822706     ,   6.08642817    
   19.0778656     ,  -3.05432957E-02 ,   6.81557608     ,   6.84611940    
   19.3400879     ,  -3.09631079E-02 ,   7.24409485     ,   7.27505779    
   18.0755653     ,  -2.89386325E-02 ,   7.24409485     ,   7.27303362    
   14.5620537     ,  -2.33135670E-02 ,   6.81557608     ,   6.83888960    
   5.98795176     ,  -9.58659593E-03 ,   6.05822706     ,   6.06781387    
   0.00000000     ,  -0.00000000     ,   5.12856627     ,   5.12856627    
   0.00000000     ,  -0.00000000     ,   4.18203592     ,   4.18203592    
   0.00000000     ,  -0.00000000     ,   3.33086205     ,   3.33086205    
   0.00000000     ,  -0.00000000     ,   2.63171911     ,   2.63171911    
   0.00000000     ,  -0.00000000     ,   2.09608245     ,   2.09608245    
   0.00000000     ,  -0.00000000     ,   1.70922875     ,   1.70922875    
